"method","K","mean_weight_var","mean_cov_mae_X","mean_cov_abs_err_y"
"constrained",2,0.251887729674642,0.0160313045609656,0.0883249304554855
"standard",2,0.251887729674642,0.0160313045609656,0.0883249304554855
"constrained",3,0.379910025971699,0.0146898260890732,0.0926822396884504
"standard",3,0.379910025971699,0.0146898260890732,0.0926822396884504
"constrained",4,0.480401038244561,0.0133953348531233,0.0953149684575763
"standard",4,0.478972117575163,0.0135744574738305,0.0952893319698648
"constrained",5,0.601131254355924,0.0114200527455591,0.0969659645209587
"standard",5,0.580752557168513,0.0131421689867012,0.0971798869068315
"constrained",6,0.706473886914629,0.0110104585751945,0.0946627451376693
"standard",6,0.673819019793586,0.0129004827472483,0.0957025231838513
"constrained",7,0.781359269716637,0.010369291893081,0.0943337637738377
"standard",7,0.736839217089549,0.0121595072512916,0.0959144905309108
"constrained",8,0.833436176730675,0.00977121555708788,0.0956463314209565
"standard",8,0.776845083542368,0.0114572982991345,0.0979178584290842
"constrained",9,0.878140154345225,0.00947386696548989,0.0951807423227657
"standard",9,0.810653054514894,0.0110974944073495,0.0986473107815113
"constrained",10,0.907909873219362,0.00935774810361638,0.0957058387966537
"standard",10,0.833380701941117,0.0107911640935499,0.100637533047131
